,ANC,BD,BFF,BFT,BG,BLF,BMS,BPF,BSB,CLA,COD,DOG,DRM,DSH,FDE,FDF,FLA,FOU,GOO,HAD,HAL,HER,ISQ,LOB,LSK,LSQ,MAK,MEN,MPF,NSH,OHK,OPT,OSH,PLA,POL,QHG,RCB,RED,RHK,SAL,SCA,SCU,SDF,SHK,SK,STB,SUF,TAU,TYL,WHK,WIF,WOL,WPF,WTF,YTF,ZG,ZL,ZM
ANC,0,7.56808E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26281E-06,6.51278E-09
BIL,0,0,0,0,0,0,0,8.98007E-13,0,0,0,0,0,0,1.05256E-13,0,0,0,0,0,0,3.23177E-13,9.60911E-13,0,0,9.59045E-14,3.51593E-13,0,7.81811E-11,0,0,0,0,0,0,0,0,0,0,4.20941E-12,0,0,0,5.26022E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFT,0,0,0,0,0,0,0,5.98634E-13,0,0,0,0,0,0,7.01664E-14,0,0,0,0,0,0,2.15438E-13,6.40567E-13,0,0,6.39323E-14,2.34381E-13,0,5.21175E-11,0,0,0,0,0,0,0,0,0,0,2.80609E-12,0,0,0,3.50659E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLF,1.83986E-10,5.13125E-14,4.28949E-13,2.05036E-10,1.03503E-12,8.21562E-11,1.94686E-10,9.60082E-11,2.28613E-12,0,0,1.6521E-14,9.89699E-13,0,8.14864E-11,1.08318E-11,5.64333E-12,0,0,9.98215E-13,0,3.59108E-11,0,0,0,2.09188E-12,8.53312E-12,2.25841E-10,3.62007E-10,1.93037E-13,0,8.70076E-11,1.86599E-13,0,0,6.11023E-11,0,1.79045E-14,1.59178E-11,0,2.85761E-15,1.36418E-11,0,1.64069E-11,9.14297E-13,0,2.09985E-12,0,0,5.18909E-13,6.6035E-12,0,2.0337E-11,0,1.29528E-12,4.7964E-12,2.09242E-10,0
BPF,0,9.20681E-12,1.83698E-09,0,3.18094E-10,0,1.23419E-10,0,0,0,0,0,0,0,0,9.02139E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48118E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04016E-09,1.23015E-08,2.14996E-08
BSB,2.52931E-11,3.34617E-12,3.48858E-10,0,1.59236E-10,0,4.07067E-08,0,2.2958E-11,4.36224E-09,0,0,0,0,7.89593E-12,1.75951E-11,1.41314E-11,0,0,0,0,0,0,2.70216E-12,0,5.97632E-13,0,0,2.3317E-09,2.51367E-11,0,0,1.55524E-12,0,0,2.85697E-10,0,0,8.5507E-13,0,4.01246E-13,1.30113E-11,0,1.12213E-13,9.30387E-13,0,0,0,0,0,0,0,2.44109E-12,0,0,6.32896E-12,2.89921E-10,3.37135E-13
BUT,0,4.32353E-11,1.65181E-09,0,1.13208E-09,0,2.28156E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31786E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24879E-08,1.33683E-08,2.84222E-09
COD,0,1.04776E-13,1.66166E-11,0,1.00991E-11,3.78641E-13,1.18603E-09,1.21656E-12,2.95621E-14,6.42953E-11,4.03412E-13,2.46704E-15,0,1.49028E-13,4.98116E-12,1.13019E-12,1.62495E-12,6.83367E-15,3.61362E-13,1.26985E-13,0,4.2467E-12,2.18718E-13,1.51144E-13,0,2.46195E-15,6.47525E-13,0,2.14078E-13,6.86585E-12,0,2.91815E-12,1.40267E-12,1.04326E-12,4.80043E-14,1.97837E-10,7.53183E-12,4.11499E-14,1.42758E-12,0,2.45445E-13,1.64247E-15,9.42231E-13,2.74837E-12,1.64462E-13,0,0,0,0,1.32876E-13,4.58591E-13,1.54428E-12,7.39691E-13,3.71711E-13,2.35172E-13,7.82068E-14,1.73991E-11,3.9458E-14
DOG,7.2193E-11,1.63186E-12,9.27302E-10,0,8.73225E-11,1.13748E-12,6.12793E-09,4.29827E-11,4.23072E-11,8.20909E-09,2.28906E-12,5.75765E-14,3.35606E-12,8.41774E-13,1.87018E-10,6.03609E-11,2.11535E-10,1.19702E-11,1.49634E-11,7.82439E-13,2.34892E-13,1.28626E-10,1.19342E-12,5.60051E-12,6.12291E-15,2.35142E-12,1.47616E-10,1.178E-09,2.33472E-10,5.28025E-11,0,1.25334E-10,1.49258E-11,1.38564E-11,7.07139E-13,3.48482E-09,2.1564E-11,3.99331E-13,2.11254E-11,2.29089E-11,7.53229E-12,2.81211E-11,3.42594E-10,2.98272E-11,3.81518E-12,5.2536E-13,7.41723E-12,0,0,1.20448E-12,1.1093E-11,6.12749E-11,1.27322E-11,7.68767E-12,1.11351E-11,1.42116E-09,1.19401E-09,4.93759E-13
DRM,3.18536E-10,6.38918E-12,7.41477E-10,0,2.87838E-11,0,3.66301E-09,0,0,4.23137E-09,0,0,0,0,0,1.35901E-12,0,0,0,0,0,0,0,8.76254E-13,0,5.38923E-14,0,0,0,4.16973E-13,0,0,2.8684E-12,0,0,0,0,0,0,0,0,0,1.34829E-11,0,0,0,6.97122E-15,0,0,0,0,0,0,0,0,2.05157E-12,1.28893E-10,2.09134E-12
