Child,Index,Parent,Change,Name,Long.Name,X,IsVertebrate,Old.Name
MAK,0,FPL,0,Mackerel,Atlantic mackerel,NA,1,Atlantic Mackerel
HER,1,FPS,0,Herring,Atlantic herring,NA,1,Atlantic Herring
WHK,2,FVD,0,White_Hake,White hake,NA,1,White Hake
BLF,3,FVS,0,Bluefish,Bluefish,NA,1,Bluefish
WPF,4,FVB,1,Windowpane,Windowpane flounder,NA,1,Other Demersal Flatfish
SUF,5,FVB,1,Summerflounder,Summer flounder,NA,1,Other Demersal Flatfish
WIF,6,FVB,1,Winterflounder,Winter flounder,NA,1,Other Demersal Flatfish
WTF,7,FVB,1,Witchflounder,Witch flounder,NA,1,Other Demersal Flatfish
HAL,8,FVB,1,Halibut,Atlantic halibut,NA,1,Other Demersal Flatfish
PLA,9,FVB,1,Plaice,American plaice,NA,1,Other Demersal Flatfish
FOU,,FVB,1,Fourspotflounder,Fourspot flounder,NA,1,Other Demersal Flatfish
FLA,10,FVB,1,Other flatfish,Other flatfish,NA,1,Other Demersal Flatfish
BFT,11,FVT,1,BluefinTuna,Atlantic bluefin tuna,NA,1,Large Pelagics
TUN,12,FVT,1,Tunas,Other tunas,NA,1,Large Pelagics
BIL,13,FVT,1,Billfish,Billfish,NA,1,Large Pelagics
MPF,14,FMM,0,Mesopel_M_Fish,Migratory mesopelagic fish ,NA,1,Migratory Mesopelagics
BUT,15,FBP,1,Butterfish,Butterfish,NA,1,Other Pelagics
ANC,16,FBP,1,Anchovies,Anchovies,NA,1,Other Pelagics
BPF,17,FBP,1,Benthopel_Fish,Other benthopelagic fish,NA,1,Other Pelagics
GOO,18,FDD,0,Monkfish,Monkfish,NA,1,Monkfish
MEN,19,FDE,1,Menhaden,Atlantic menhaden,NA,1,Anadromous Sm. Pelagics
FDE,20,FDE,1,Demersal_E_Fish,Shallow demersal fish,NA,1,Anadromous Sm. Pelagics
COD,21,FDS,0,Cod,Atlantic cod,NA,1,Atlantic Cod
SHK,22,FDB,0,Silver_Hake,Silver hake,NA,1,Silver Hake
OHK,23,FDC,1,Offshore_Hake,Offshore hake,NA,1,Other Demersal Fish
POL,24,FDC,1,Pollock,Pollock,NA,1,Other Demersal Fish
RHK,25,FDC,1,Red_Hake,Red hake,NA,1,Other Demersal Fish
BSB,26,FDC,1,Black_Sea_Bass,Black sea bass,NA,1,Other Demersal Fish
SCU,27,FDC,1,Scup,Scup,NA,1,Other Demersal Fish
TYL,28,FDC,1,Tilefish,Tilefish,NA,1,Other Demersal Fish
RED,29,FDC,1,Redfish,Acadian redfish,NA,1,Other Demersal Fish
OPT,30,FDC,1,Ocean_Pout,Ocean pout,NA,1,Other Demersal Fish
SAL,31,FDC,1,Atlantic_Salmon,Atlantic salmon,NA,1,Other Demersal Fish
DRM,32,FDC,1,Drums_Croakers,Drums and croakers,NA,1,Other Demersal Fish
STB,,FDC,1,Striped_Bass,Striped bass,NA,1,Other Demersal Fish
TAU,,FDC,1,Tautog,Tautog,NA,1,Other Demersal Fish
WOL,,FDC,1,Wolffish,Wolffish,NA,1,Other Demersal Fish
SDF,33,FDC,1,Atlantic_States_Demersals,Atlantic states demersal fish,NA,1,Other Demersal Fish
FDF,34,FDC,1,Demersal_DC_Fish,Miscellaneous demersal fish,NA,1,Other Demersal Fish
HAD,35,FDO,0,Haddock,Haddock,NA,1,Haddock
YTF,36,FDF,0,Yellowtail_Flounder,Yellowtail flounder,NA,1,Yellowtail Flounder
DOG,37,SHB,0,Spiny_Dogfish,Spiny dogfish,NA,1,Spiny Dogfish
SMO,38,SHD,1,Smooth_Dogfish,Smooth dogfish,NA,1,Demersal Sharks
SSH,,SHD,,Sandbar_Shark,Sandbar shark,NA,1,Demersal Sharks
DSH,39,SHD,1,Demersal_Shark,Other demersal sharks,NA,1,Demersal Sharks
