NESPP3,SPPNM,Group
0,UNKNOWN,Other
1,ALEWIFE,Small Pelagics
3,AMBERJACK,Other
6,"ANCHOVY,BAY",Small Pelagics
11,MONKFISH HEADS,Principle Groundfish
12,GOOSEFISH,Principle Groundfish
13,"GOOSEFISH, BLACKFIN",Other
18,BARRACUDA,Other
19,"NEEDLEFISH,ATLANTIC",Other
22,BEARDFISH,Other
23,BLUEFISH,Other
24,SQUIRRELFISHES,Other
25,BIG ROUGHY,Other
26,"GROUPER,RED",Other
27,BARRELFISH,Other
28,"HIND,ROCK",Other
29,"HIND,SPECKLED",Other
31,"STARGAZER,NORTHERN",Other
32,"HIND,RED",Other
33,"BONITO,ATLANTIC",Other
45,BULLHEADS,Other
51,BUTTERFISH,Other
57,COBIA,Other
63,CARP,Other
66,CATFISHES (FRESHWATER),Other
67,"CATFISH,BLUE",Other
68,"CATFISH,CHANNEL",Other
69,CATFISHS(SEA),Other
76,"SCAD,BIGEYE",Other
77,"SCAD,ROUND",Other
81,"COD,ATLANTIC",Principle Groundfish
82,COD HEADS,Principle Groundfish
84,CRAPPIE,Other
87,CREVALLE,Other
90,"CROAKER,ATLANTIC",Other
93,CUNNER,Other
96,CUSK,Other
98,CUTLASSFISH (RIBBONFISH),Other
99,"CUTLASSFISH,ATLANTIC",Other
104,DRUM,Other
105,DOLPHINFISH,Other
106,"DRUM,BLACK",Other
107,"DRUM,RED",Other
112,"HERRING,BLUEBACK",Small Pelagics
114,BEARDED BROTULA,Other
115,"EEL,AMERICAN",Other
116,"EEL,CONGER",Other
117,"EEL, NK",Other
120,"FLOUNDER,WINTER",Flatfish
121,"FLOUNDER,SUMMER (FLUKE)",Flatfish
122,"FLOUNDER,WITCH (GRAY SOLE)",Flatfish
123,"FLOUNDER,YELLOWTAIL",Flatfish
124,"FLOUNDER,PLAICE,AMERICAN (DAB)",Flatfish
125,"FLOUNDER,SAND DAB (WINDOWPANE)",Flatfish
126,"FLATFISH,UNC",Flatfish
127,"FLOUNDER,FOURSPOT",Flatfish
128,HOGCHOKER,Other
129,"FLOUNDER,GULF STREAM",Other
130,"FLOUNDERS,SOUTHERN",Other
132,FRIGATE MACKEREL,Other
133,GARFISHES,Other
134,"SHAD,GIZZARD",Other
138,GRENADIERS,Other
141,GROUPERS,Other
142,"GROUPER,YELLOW EDGE",Other
143,"GROUPER, LONG TAIL",Other
144,GRUNTS,Other
145,"GROUPER,SCAMP",Other
146,"GROUPER,SNOWY",Other
147,HADDOCK,Principle Groundfish
150,HAGFISH,Other
152,"HAKE,ATLANTIC,RED",Principle Groundfish
153,"HAKE,ATLANTIC,WHITE",Principle Groundfish
154,"HAKE,ATLANTIC,RED & WHITE",Principle Groundfish
155,"HAKE,ATLANTIC,RED & WHITE",Principle Groundfish
158,"HALIBUT, GREENLAND",Other
159,"HALIBUT,ATLANTIC",Flatfish
165,HARVESTFISHES,Other
166,"HERRING,ROUND",Small Pelagics
167,"HERRINGS,UNC",Small Pelagics
168,"HERRING,ATLANTIC,SEA",Small Pelagics
171,HERRING SMELT,Small Pelagics
173,"SHAD,HICKORY",Other
179,HOGFISH,Other
188,JOHN DORY,Other
189,"DORY, NK",Other
194,"MACKEREL,KING",Small Pelagics
196,"KINGFISH, NORTHERN",Other
197,KING WHITING,Other
206,LAUNCES,Other
210,LUMPFISH,Other
212,"MACKEREL,ATLANTIC",Small Pelagics
213,BLUE RUNNER,Other
215,"MACKEREL,CHUB",Small Pelagics
216,"MARLIN,WHITE",Other
217,"MARLIN,BLUE",Other
218,"MARLIN,UNC",Other
221,MENHADEN,Other
234,MULLETS,Other
235,"MULLET,STRIPED",Other
237,MUMMICHOG,Other
240,"OCEAN PERCH,(REDFISH)",Other
242,BLACK BELLIED ROSEFISH,Principle Groundfish
249,OPAH,Other
250,OCEAN POUT,Other
258,PIGFISH,Other
267,PINFISH,Other
268,LADYFISH,Other
269,"POLLOCK,ATLANTIC",Principle Groundfish
271,POMFRETS,Other
272,POMPANO,Other
285,"RAY, COWNOSE",Elasmobranches
291,"BASS,BLACKMOUTH",Other
305,"SALMON,ATLANTIC",Other
306,"SALMON,PACIFIC,PINK",Other
307,"SALMON,COHO,AQUACULTURE",Other
308,"SALMON,KING,AQUACULTURE",Other
309,"SALMON,PACIFIC",Other
311,"PERCH,SAND",Other
319,"SAURY,ATLANTIC",Other
326,SCULPINS,Other
327,SEA RAVEN,Other
329,SCUP,Other
330,"PORGY,RED",Other
331,"SCADS,ROUGH",Other
332,"PORGIES,UNC",Other
333,"SEA BASS, NK",Other
334,"SEA TROUT, UNC",Other
335,"SEA BASS,BLACK",Other
336,"SNAPPERS,UNC",Other
337,"BARBIER, RED",Other
338,"SHAD,UNC",Other
