"Group","Atcode","SVSPP","NESPP3","COMNAME"
"Sediment bacteria","BB",NA,NA,NA
"Benthic carnivore","BC",NA,NA,NA
"Deposit feeder","BD",NA,NA,NA
"Other benthic filter feeder","BFF",NA,NA,NA
"Sea scallop","BFS",401,800,"SEA SCALLOP"
"Benthic grazer","BG",NA,NA,NA
"Lobster","BML",301,727,"AMERICAN LOBSTER"
"Shallow macrozoobenthos","BMS",510,786,"OCTOPUS UNCL"
"Shallow macrozoobenthos","BMS",511,NA,"COMMON OCTOPUS"
"Shallow macrozoobenthos","BMS",512,NA,"SPOONARM OCTOPUS"
"Meiobenthos","BO",NA,NA,NA
"Squid","CEP",501,803,"SQUID, CUTTLEFISH, AND OCTOPOD UNCL"
"Squid","CEP",502,802,"NORTHERN SHORTFIN SQUID"
"Squid","CEP",503,801,"LONGFIN SQUID"
"Dinoflagellates","DF",NA,NA,NA
"Benthopelagics","FBP",31,NA,"ROUND HERRING"
"Benthopelagics","FBP",38,361,"CAPELIN"
"Benthopelagics","FBP",43,NA,"BAY ANCHOVY"
"Benthopelagics","FBP",44,NA,"STRIPED ANCHOVY"
"Benthopelagics","FBP",66,NA,"SILVERSTRIPE HALFBEAK"
"Benthopelagics","FBP",124,NA,"CHUB MACKEREL"
"Benthopelagics","FBP",131,51,"BUTTERFISH"
"Benthopelagics","FBP",181,206,"NORTHERN SAND LANCE"
"Benthopelagics","FBP",205,319,"ATLANTIC SAURY"
"Benthopelagics","FBP",208,NA,"MACKEREL SCAD"
"Benthopelagics","FBP",209,NA,"BIGEYE SCAD"
"Benthopelagics","FBP",211,NA,"ROUND SCAD"
"Benthopelagics","FBP",212,76,"ROUGH SCAD"
"Benthopelagics","FBP",212,77,"ROUGH SCAD"
"Benthopelagics","FBP",212,331,"ROUGH SCAD"
"Benthopelagics","FBP",213,NA,"SILVER RAG"
"Benthopelagics","FBP",428,NA,"ATLANTIC THREAD HERRING"
"Benthopelagics","FBP",429,NA,"SPANISH SARDINE"
"Benthopelagics","FBP",466,NA,"FLYING HALFBEAK"
"Benthopelagics","FBP",689,234,"STRIPED MULLET"
"Benthopelagics","FBP",689,235,"STRIPED MULLET"
