"Year","ANC","BIL","BLF","BMS","BPF","BSB","BUT","CLA","COD","DOG","DRM","DSH","FDE","FDF","FLA","FOU","GOO","HAD","HAL","HER","ISQ","LOB","LSK","LSQ","MAK","MEN","MPF","NSH","OHK","OPT","OSH","PLA","POL","PSH","QHG","RCB","RED","REP","RHK","SCU","SDF","SHK","SK","SMO","SSH","STB","SUF","TAU","TUN","TYL","WHK","WIF","WOL","WPF","WSK","WTF","YTF","SCA"
1963,NA,NA,7552.5374537037,0,4861182.02344317,111257.670500744,6447481.87900346,NA,56371390.0018872,139732454.090615,NA,17752.8156142857,2817797.35323433,12207719.9115061,29801.8279100529,3127569.7551439,13031315.2320332,207698339.3352,874640.94807197,13576442.7324251,0,0,18476194.4941784,0,157665.191762814,8147.29800595238,0,0,81779.3374886364,3150596.36329299,0,13492871.5158887,59595373.7089025,NA,NA,NA,59696569.3728673,NA,25902751.8250303,932270.364904762,158514.971449134,45792460.4081494,28165403.3039812,1027979.61931887,NA,NA,441845.331632672,64609.9233958333,NA,27516.9407625,16528587.535841,8904453.47108955,307302.393687342,3899075.12581739,28098572.5900728,6000914.10787833,28750858.4341127,NA
1964,NA,NA,75785.7233754579,4650712.32523569,2224591.08836951,49441.8279722222,6429004.4984676,NA,79101142.507347,148657548.786842,NA,14241.7968974359,3094230.34616458,12647617.328032,19823.4256932881,2587887.17628568,15609445.9993057,264529325.014187,1702039.47527869,810057.170235809,514608.571641468,2163574.52636263,9131069.10689937,252942.362729244,91972.5394179182,NA,0,NA,108098.949665774,11369844.9420485,3622.8361,13096117.5359669,67485974.1606118,NA,NA,NA,62566489.200525,NA,19143439.0668726,1353986.19255701,145385.641261555,24358945.4690336,31949689.942351,434945.768958333,NA,NA,956144.877775718,NA,NA,89702.4332179487,17812562.9834381,10477395.9523154,684960.568057107,2679759.32432253,20736087.0774275,5234760.56730116,25709541.9800492,NA
1965,0,NA,NA,2904315.17458361,1149412.08879008,9363.75701388889,6078294.12759736,NA,78079774.6847166,125287699.956287,NA,20040.5241527778,12860791.5573631,14414071.1058177,0,2728525.78642572,12123771.0949499,296929081.801742,473192.361208984,3488872.2545745,171590.627795584,3719911.06063397,20322638.7705925,1292130.96969525,527381.632904029,NA,842.589263888889,NA,144080.382247222,13084071.8387631,244040.376279293,12793931.5487357,36081940.3311176,NA,NA,NA,114532420.395537,NA,16812222.9586038,315116.269181517,56670.9644438034,22866551.9879987,32814565.1348406,NA,NA,NA,191382.707366579,NA,NA,76226.0435833333,13753441.7802081,12763660.2817221,2721270.36200887,1663025.8836508,20267834.9938959,6620939.46050546,24618923.3361353,NA
1966,NA,NA,126410.7196875,2364818.59932143,706928.651385327,NA,1681367.53042226,NA,100110800.358525,92727224.652816,NA,11397.7813912037,1470796.33529401,38746507.538804,0,2121334.09215741,31393380.2956784,133527146.03784,607115.363882065,3022925.58514972,111175.910419345,4429954.75322368,44241132.0847302,0,242577.338787771,NA,0,NA,220266.061508929,28442419.2164548,1060508.15498194,16175236.5520215,62955621.1850368,NA,NA,NA,56361516.1788102,NA,9443363.69909709,316529.2265625,56071.3381645833,10293719.6923842,45837606.5876686,NA,NA,NA,392891.731893519,NA,NA,126958.764244048,20179011.8528137,13735514.5046435,2445257.38976772,4366458.06550293,22423377.4887651,13011912.6464119,19979837.8277152,5427321.14597646
1967,NA,NA,381229.905881696,76525.2669791667,298648.09791632,391065.200261905,7730208.95493747,NA,53398543.3560929,201814484.87777,75886.626,1340294.08125344,3470140.81318773,160085004.313568,104986.026811111,1362015.72552617,7046509.44091266,102278855.950203,675945.6511875,1655062.27073429,1416804.48276326,5045846.10807779,13528251.1350291,18287448.403037,1635382.64359838,27125.3345357143,23449.5867222222,NA,24652.435,1327687.70246875,7099806.43022421,10252049.635155,19822226.3159181,703205.34915,NA,7190.29354166667,59305515.1117786,NA,6610765.1358035,3864628.6725714,93199.9000972222,12946331.0960391,17094405.4789041,10257155.9486863,788388.444116667,NA,2441292.36850481,NA,NA,NA,11737428.9178986,8617003.02194674,1595278.12387222,5835666.32745959,13062676.6973623,4306174.18179433,33654224.7807745,NA
1968,NA,33859.1369479167,28425.0045984848,11643.4316225962,606784.586727927,332949.083825397,18912553.7661389,NA,60746400.963262,146957436.232451,NA,188309.289935268,5148621.23399531,29658215.992988,17322.2061388889,1577001.63864825,8063820.33025706,81549974.9143628,617117.177844618,8079809.17562212,979045.211504735,3468628.52879572,10618657.1775488,21107633.747761,9410546.50880785,0,1250.48583333333,NA,48432.826265377,7696887.77616855,10536021.8107879,12210117.5189065,40450789.0614275,695236.628177083,NA,NA,57466297.1795188,NA,9084396.80566435,3665298.96405527,4638.28163690476,13297534.1626537,21350868.9503769,2819793.45891852,NA,NA,1288051.24653715,NA,NA,72091.7842976191,9575407.18571101,7671116.42301438,2338802.05466917,3774803.32776864,12228005.9856043,8568639.90440666,40064304.9379616,NA
1969,111294.940507937,NA,666534.639419841,0,677098.476180132,435539.555987912,12398536.664828,NA,60882478.1992893,157864223.439672,54778.4251333333,791011.844111169,7736092.5394864,23518337.0442765,36871.0072200727,1247711.81863456,9306213.64651694,63809148.4238157,1128301.71773252,4440403.43935859,3622211.56647031,4087847.80377304,14485320.062336,18276293.821651,6330324.00915533,NA,217099.227402778,NA,50145.9705902778,7336939.82938389,6712731.823116,10214081.3347498,67788773.645339,547303.545090909,NA,0,74824387.9899774,NA,9237054.76510533,3976065.40030332,5064.467625,9797734.98266106,31999841.7506781,1040003.04438825,189415.427595238,NA,560384.690144115,NA,NA,3926.79016975309,22636871.3847497,10123964.4428481,3296513.82381972,2722434.92730104,18294480.1446315,8277876.33828292,35648063.9212629,NA
1970,NA,NA,113302.948541667,2234.796825,3481270.48860958,242099.671759524,4557371.11159993,NA,62444797.3766676,115201443.972692,266351.249489583,727247.22947963,10110020.1772962,39064649.540692,66855.3474146801,1081576.47859211,9700399.87624229,62984960.6983899,823938.956122716,1894653.38460108,987995.148131917,2838554.96485351,10705711.2929654,9806247.59376927,4715687.46981558,NA,1045.048875,13686.12084375,87107.2268757937,7640412.30648788,3793063.04567903,7891348.37545797,39071949.6328858,NA,NA,3081.554375,73502772.2627295,NA,7768818.98471596,5372994.25242305,7143.08132142857,16587710.8524356,34409802.3133781,65227.127475,NA,NA,237912.968629167,52155.9777,NA,32155.35,32713997.1107007,11284713.0709416,4899963.61589714,2262161.06295749,17082473.4624773,10084968.7252527,30847494.644846,NA
1971,8431.84733333333,NA,1299339.99349238,1310.03277777778,1452137.24272302,142361.294679212,9329827.32769868,NA,62347129.4606982,117784657.462349,38786.4977333333,954222.970889942,8552685.44881869,18937533.6496207,41245.1910694444,1042011.76721517,7881864.31877255,51674906.1315129,446881.953972222,1520884.41074946,1157934.44187906,3361063.51764114,18550294.71158,11395844.3925684,6335053.05793292,0,6847.89861111111,NA,40346.0322083333,3233220.34094025,3539332.41497533,5968861.32304348,47173290.9680581,NA,NA,NA,104908985.158012,NA,12259766.8172806,4784898.37108284,6886.604125,12671230.8376713,33555563.2977125,1908936.84417244,NA,NA,598662.018029641,NA,NA,511722.621777778,22802270.0338027,5873023.53520381,3685762.74790849,2295238.19406261,15214215.3588558,6601973.82903294,23261578.2298285,NA
1972,2319634.84542361,NA,2621620.01102647,148592.328661458,33730197.1700452,1477679.73522629,17135016.9921261,NA,77242190.3293627,246627799.456699,19360912.3450882,1283538.0028502,2678504.51226204,33490620.5324742,223450.320602247,2493421.37664763,21070618.6194369,43444136.2656047,810885.024526587,772127.551572089,1057611.08520345,3864212.72178228,22146725.0844777,28895876.6087173,3328379.43976096,6451.91143055556,108765.471375,NA,325086.747972281,7988718.25560197,3365286.9387042,6095579.28737242,65947843.006256,3359073.35618542,NA,74332.0254146826,71910119.4626869,NA,16746650.6816446,8539972.58618742,89851.9732247316,16765851.2950485,33121621.7133549,5330059.81126661,2689765.25402778,55378.6583333333,1426562.43864082,34845.3832152778,0,49647.2649305556,33018817.9168325,11509193.2604497,2736490.20720139,6658424.24734988,29551499.9113832,9192148.34924994,43434830.5617766,NA
