Child,Parent,Change,Long.Name,li_a_XXX,li_b_XXX,C_XXX_T15,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,C_XXX,mum_XXX_T15,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX,mum_XXX
MAK,FPL,0,Atlantic mackerel,0.0126,3.3,NA,0.01,0.05,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,NA,0.680750487,0.687231969,4.8226121,16.880116959,18.3232699805,20.3682017544,20.38265107,20.39,20.398235867,20.3994
HER,FPS,0,Atlantic herring,0.0115,2.9,NA,0.15,0.4,12,15,15,17,17,17,17,17,NA,3.374269,3.0323587,3.6023392,4.853801,5.3460039,5.4259259,6.46,6.4655214425,6.466381579,6.47
WHK,FVD,0,White hake,0.0126,3.2,NA,30,150,400,600,600,600,600,650,650,950,NA,2.0122319688,5.441033138,18.64327485,27.78216374,75.58479532,138.21832359,228.25536062,308.06367771,457.33024691,569
BLF,FVS,0,Bluefish,0.011,3,NA,30,60,105,180,250,250,815,815,815,815,NA,3.022904483,45.73927875,80.3079922,195.18810916,195.84161793,195.67300195,195.01803119,195.02339181,195.216374269,205
WPF,FVB,1,Windowpane flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
SUF,FVB,1,Summer flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
WIF,FVB,1,Winter flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
WTF,FVB,1,Witch flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
HAL,FVB,1,Atlantic halibut,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
PLA,FVB,1,American plaice,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
FOU,FVB,1,Fourspot flounder,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
FLA,FVB,1,Other flatfish,0.0124,3.2,NA,1,1.8,5,10.5,25.5,25.5,25.5,25.5,25.5,28,NA,3.312682749,4.126218324,5.770711501,7.44761209,18.7,29.665082846,40.663255361,40.70297271,40.9,41.6
BFT,FVT,1,Atlantic bluefin tuna,0.0214,2.96,NA,380,17000,28500,43000,44000,44000,44000,44000,44000,44000,NA,2.6666667,666.66666667,1266.66666667,3760.66666667,5796.66666667,8806.66666667,8836.66666667,8806.66666667,8816.66666667,8826.66666667
TUN,FVT,1,Other tunas,0.0214,2.96,NA,380,17000,28500,43000,44000,44000,44000,44000,44000,44000,NA,2.6666667,666.66666667,1266.66666667,3760.66666667,5796.66666667,8806.66666667,8836.66666667,8806.66666667,8816.66666667,8826.66666667
BIL,FVT,1,Billfish,0.0214,2.96,NA,380,17000,28500,43000,44000,44000,44000,44000,44000,44000,NA,2.6666667,666.66666667,1266.66666667,3760.66666667,5796.66666667,8806.66666667,8836.66666667,8806.66666667,8816.66666667,8826.66666667
