NESPP3,COMNAME,AtlantisGroup,Price
001,ALEWIFE,Anadromous Sm. Pelagics,0.1130736634
003,AMBERJACK,,0.5683609381
006,"ANCHOVY,BAY",Other Pelagics,0.8027076691
012,GOOSEFISH,Monkfish,0.9281463223
018,BARRACUDA,,0.528716453
019,"NEEDLEFISH,ATLANTIC",Other Demersal Fish,0.3126703687
023,BLUEFISH,Bluefish,0.4148045069
024,SQUIRRELFISHES,,1.2042509219
026,"GROUPER,RED",,2.2637228053
027,BARRELFISH,,1.3216513118
028,"HIND,ROCK",,1.9392203074
031,"STARGAZER,NORTHERN",,0.2202358541
032,"HIND,RED",,2.7710775303
033,"BONITO,ATLANTIC",,1.3389877136
045,BULLHEADS,,0.4208896823
051,BUTTERFISH,Anadromous Sm. Pelagics,0.6815782323
052,,,0.6409796883
057,COBIA,,1.354844618
063,CARP,,0.2367782572
066,CATFISHES (FRESHWATER),,0.3647720304
067,"CATFISH,BLUE",,0.2549697848
069,CATFISHS(SEA),,0.5488231932
081,"COD,ATLANTIC",Atlantic Cod,1.5209577452
084,CRAPPIE,,1.0807904076
087,CREVALLE,,0.5857115088
090,"CROAKER,ATLANTIC",Other Demersal Fish,0.4129362272
093,CUNNER,Other Demersal Fish,2.7271731101
096,CUSK,Other Demersal Fish,0.8280034131
097,,,0.4253700583
098,CUTLASSFISH (RIBBONFISH),,0.319063595
099,"CUTLASSFISH,ATLANTIC",,0.5144062643
104,DRUM,,0.5144369121
105,DOLPHINFISH,,1.5731749311
106,"DRUM,BLACK",Other Demersal Fish,1.1255298087
107,"DRUM,RED",Other Demersal Fish,1.3607007326
112,"HERRING,BLUEBACK",Anadromous Sm. Pelagics,0.290841778
115,"EEL,AMERICAN",Other Demersal Fish,2.4568238922
116,"EEL,CONGER",Other Demersal Fish,0.4849696032
117,"EEL, NK",Other Demersal Fish,0.4816598194
120,"FLOUNDER,WINTER",Other Demersal Flatfish,1.7644571905
121,"FLOUNDER,SUMMER (FLUKE)",Other Demersal Flatfish,2.2386134513
122,"FLOUNDER,WITCH (GRAY SOLE)",Other Demersal Flatfish,2.1334575747
123,"FLOUNDER,YELLOWTAIL",Yellowtail Flounder,1.3972188903
124,"FLOUNDER,PLAICE,AMERICAN (DAB)",Other Demersal Flatfish,1.557304726
125,"FLOUNDER,SAND DAB (WINDOWPANE)",Other Demersal Flatfish,0.479766644
126,"FLATFISH,UNC",Other Demersal Flatfish,0.9239569235
127,"FLOUNDER,FOURSPOT",Other Demersal Flatfish,0.2996779408
128,HOGCHOKER,,0.4372275472
129,"FLOUNDER,GULF STREAM",Other Demersal Flatfish,0.9218109572
130,"FLOUNDERS,SOUTHERN",,1.9969726416
132,FRIGATE MACKEREL,,0.6210628374
133,GARFISHES,,0.1362263613
134,"SHAD,GIZZARD",Anadromous Sm. Pelagics,0.0949122883
141,GROUPERS,,2.8092340557
142,"GROUPER,YELLOW EDGE",,2.5944281036
144,GRUNTS,,0.87629841
145,"GROUPER,SCAMP",,2.9854120649
146,"GROUPER,SNOWY",,2.6403074448
147,HADDOCK,Haddock,1.0651638448
150,HAGFISH,,0.5949987073
152,"HAKE,ATLANTIC,RED",Other Demersal Fish,0.3122411006
153,"HAKE,ATLANTIC,WHITE",White Hake,1.157747714
