Child,Parent,Change,li_a_XXX
MAK,FPL,0,0.0126
HER,FPS,0,0.0115
WHK,FVD,0,0.0126
BLF,FVS,0,0.011
WPF,FVB,1,0.0124
SUF,FVB,1,0.0124
WIF,FVB,1,0.0124
WTF,FVB,1,0.0124
HAL,FVB,1,0.0124
PLA,FVB,1,0.0124
FOU,FVB,1,0.0124
FLA,FVB,1,0.0124
BFT,FVT,1,0.0214
TUN,FVT,1,0.0214
BIL,FVT,1,0.0214
MPF,FMM,0,0.011
BUT,FBP,1,0.0116
ANC,FBP,1,0.0116
BPF,FBP,1,0.0116
GOO,FDD,0,0.0107
MEN,FDE,1,0.0123
FDE,FDE,1,0.0123
COD,FDS,0,0.0118
SHK,FDB,0,0.0123
OHK,FDC,1,0.012
POL,FDC,1,0.012
RHK,FDC,1,0.012
BSB,FDC,1,0.012
SCU,FDC,1,0.012
TYL,FDC,1,0.012
RED,FDC,1,0.012
OPT,FDC,1,0.012
SAL,FDC,1,0.012
DRM,FDC,1,0.012
STB,FDC,1,0.012
TAU,FDC,1,0.012
WOL,FDC,1,0.012
SDF,FDC,1,0.012
FDF,FDC,0,0.012
HAD,FDO,0,0.0118
YTF,FDF,0,0.012
DOG,SHB,0,0.0129
SMO,SHD,1,0.00396
SSH,SHD,1,0.00396
DSH,SHD,0,0.00396
BLS,SHP,1,0.00524
POR,SHP,1,0.00524
PSH,SHP,0,0.00524
WSK,SSK,1,0.0127
LSK,SSK,1,0.0127
SK,SSK,0,0.0127
SB,SB,0,0.02
PIN,PIN,0,0.035
REP,REP,0,0.00396
RWH,WHB,1,0.2
BWH,WHB,1,0.2
SWH,WHT,1,0.01
TWH,WHT,1,0.01
INV,FDC,1,0.012
LSQ,CEP,1,NA
ISQ,CEP,1,NA
SCA,BFS,0,NA
QHG,BFF,1,NA
CLA,BFF,1,NA
BFF,BFF,1,NA
BG,BG,0,NA
LOB,BML,0,NA
RCB,BMS,1,NA
BMS,BMS,0,NA
NSH,PWN,1,NA
OSH,PWN,1,NA
ZL,ZL,0,NA
BD,BD,0,NA
MA,MA,0,NA
MB,MB,0,NA
SG,SG,0,NA
BC,BC,0,NA
ZG,ZG,0,NA
PL,PL,0,NA
DF,DF,0,NA
PS,PS,0,NA
ZM,ZM,0,NA
ZS,ZS,0,NA
PB,PB,0,NA
BB,BB,0,NA
BO,BO,0,NA
DL,DL,0,NA
DR,DR,0,NA
DC,DC,0,NA
